id,unique_key,title,summary,category,tags,type,mission_status,event_id,image,objectives,rewards,requirements,updated_at,author,status,related_ids,name_en,name_jp,name_cn,name_tw,name_kr,description_en,description_jp
1,daily-login-mission,Daily Login Mission,Log in to the game daily,Mission,mission|daily|login,Daily,Active,,https://images.unsplash.com/photo-1612872087720-bb876e2e67d1?q=80&w=800&auto=format&fit=crop,Log in to the game,100 V-Stones|1 Stamina Drink,,2024-01-15,WikiTeam,published,,Daily Login Mission,デイリーログインミッション,每日登录任务,每日登錄任務,데일리 로그인 미션,Log in to the game daily to receive rewards,毎日ゲームにログインして報酬を受け取ろう
2,daily-volleyball-match,Daily Volleyball Match,Complete one volleyball match,Mission,mission|daily|match,Daily,Active,,https://images.unsplash.com/photo-1612872087720-bb876e2e67d1?q=80&w=800&auto=format&fit=crop,Complete 1 volleyball match,50 V-Stones|500 EXP,,2024-01-15,WikiTeam,published,,Daily Volleyball Match,デイリーバレーボールマッチ,每日排球比赛,每日排球比賽,데일리 발리볼 매치,Complete one volleyball match to earn daily rewards,バレーボールの試合を1回クリアしてデイリー報酬を獲得
3,daily-photo-session,Daily Photo Session,Take a photo in photo mode,Mission,mission|daily|photo,Daily,Active,,https://images.unsplash.com/photo-1612872087720-bb876e2e67d1?q=80&w=800&auto=format&fit=crop,Take 1 photo in photo mode,30 V-Stones|1 Photo Frame,,2024-01-15,WikiTeam,published,,Daily Photo Session,デイリーフォトセッション,每日拍照任务,每日拍照任務,데일리 포토 세션,Take a photo in photo mode to capture memories,フォトモードで写真を撮って思い出を残そう
4,weekly-tournament-entry,Weekly Tournament Entry,Participate in weekly tournament,Mission,mission|weekly|tournament,Weekly,Active,,https://images.unsplash.com/photo-1612872087720-bb876e2e67d1?q=80&w=800&auto=format&fit=crop,Enter 3 tournament matches|Win 1 tournament match,500 V-Stones|1 SR Ticket,,2024-01-15,WikiTeam,published,,Weekly Tournament Entry,ウィークリートーナメントエントリー,每周锦标赛参赛,每週錦標賽參賽,위클리 토너먼트 엔트리,Participate in the weekly tournament for special rewards,ウィークリートーナメントに参加して特別報酬を獲得
5,weekly-gacha-pull,Weekly Gacha Pull,Perform gacha pulls this week,Mission,mission|weekly|gacha,Weekly,Active,,https://images.unsplash.com/photo-1612872087720-bb876e2e67d1?q=80&w=800&auto=format&fit=crop,Perform 10 gacha pulls,200 V-Stones|1 Gacha Ticket,,2024-01-15,WikiTeam,published,,Weekly Gacha Pull,ウィークリーガチャプル,每周扭蛋抽奖,每週扭蛋抽獎,위클리 가챠 풀,Perform gacha pulls this week to earn bonus rewards,今週ガチャを引いてボーナス報酬を獲得
6,weekly-owner-room,Weekly Owner Room,Visit owner room multiple times,Mission,mission|weekly|owner,Weekly,Active,,https://images.unsplash.com/photo-1612872087720-bb876e2e67d1?q=80&w=800&auto=format&fit=crop,Visit owner room 5 times|Give 3 gifts,300 V-Stones|1 Gift Box,,2024-01-15,WikiTeam,published,,Weekly Owner Room,ウィークリーオーナールーム,每周主人房间,每週主人房間,위클리 오너 룸,Visit the owner room and interact with your favorite girls,オーナールームを訪れてお気に入りの女の子と交流しよう
7,summer-splash-challenge,Summer Splash Challenge,Complete summer festival challenges,Mission,mission|challenge|event,Challenge,Active,summer-splash-festival,https://images.unsplash.com/photo-1519046904884-53103b34b206?q=80&w=800&auto=format&fit=crop,Win 5 beach volleyball matches|Collect 100 festival tokens|Complete 3 bonus missions,1000 V-Stones|SSR Ticket|Festival Badge,Complete daily missions for 3 days,2024-01-20,WikiTeam,published,summer-splash-festival,Summer Splash Challenge,サマースプラッシュチャレンジ,夏日水花挑战,夏日水花挑戰,서머 스플래시 챌린지,Complete all summer festival challenges for exclusive rewards,サマーフェスティバルの全チャレンジをクリアして限定報酬を獲得
8,tengu-festival-challenge,Tengu Festival Challenge,Complete Tengu festival missions,Mission,mission|challenge|event,Challenge,Active,tengu-festival,https://images.unsplash.com/photo-1509631179647-0177331693ae?q=80&w=800&auto=format&fit=crop,Defeat Tengu boss 3 times|Collect 50 tengu feathers|Use Nyotengu in 5 matches,800 V-Stones|Tengu Mask|Celestial Badge,Reach player level 10,2024-01-26,WikiTeam,published,tengu-festival,Tengu Festival Challenge,天狗祭りチャレンジ,天狗祭挑战,天狗祭挑戰,텐구 페스티벌 챌린지,Complete Tengu festival challenges to earn mystical rewards,天狗祭りのチャレンジをクリアして神秘的な報酬を獲得
9,beach-tournament-story,Beach Tournament Story,Follow the beach tournament storyline,Mission,mission|story|tournament,Story,Active,beach-volleyball-tournament,https://images.unsplash.com/photo-1612872087720-bb876e2e67d1?q=80&w=800&auto=format&fit=crop,Complete story chapter 1|Complete story chapter 2|Complete story chapter 3,500 V-Stones|Story Badge|Character Episode,Complete tutorial,2024-01-22,WikiTeam,published,beach-volleyball-tournament,Beach Tournament Story,ビーチトーナメントストーリー,沙滩锦标赛故事,沙灘錦標賽故事,비치 토너먼트 스토리,Follow the exciting beach tournament storyline,エキサイティングなビーチトーナメントのストーリーを追おう
10,newcomer-welcome,Newcomer Welcome,Complete beginner missions,Mission,mission|story|beginner,Story,Active,,https://images.unsplash.com/photo-1612872087720-bb876e2e67d1?q=80&w=800&auto=format&fit=crop,Complete tutorial|Win first match|Visit owner room,300 V-Stones|SR Swimsuit|Beginner Badge,,2024-01-01,WikiTeam,published,,Newcomer Welcome,ニューカマーウェルカム,新人欢迎,新人歡迎,뉴커머 웰컴,Complete beginner missions to get started,初心者ミッションをクリアしてスタートしよう
